month,cnt
2004-01,15
2004-02,16
2004-03,10
2004-04,12
2004-05,13
2004-06,14
2004-07,16
2004-08,15
2004-09,22
2004-10,16
2004-11,11
2004-12,16
2005-01,15
2005-02,9
2005-03,10
2005-04,11
2005-05,13
2005-06,13
2005-07,10
2005-08,12
2005-09,15
2005-10,8
2005-11,8
2005-12,11
2006-01,9
2006-02,7
2006-03,7
2006-04,7
2006-05,9
2006-06,9
2006-07,11
2006-08,8
2006-09,9
2006-10,8
2006-11,7
2006-12,9
2007-01,8
2007-02,6
2007-03,7
2007-04,8
2007-05,8
2007-06,11
2007-07,9
2007-08,13
2007-09,16
2007-10,10
2007-11,9
2007-12,10
2008-01,11
2008-02,9
2008-03,10
2008-04,9
2008-05,8
2008-06,10
2008-07,9
2008-08,11
2008-09,15
2008-10,7
2008-11,8
2008-12,10
2009-01,9
2009-02,8
2009-03,8
2009-04,9
2009-05,9
2009-06,10
2009-07,10
2009-08,10
2009-09,11
2009-10,11
2009-11,9
2009-12,12
2010-01,10
2010-02,9
2010-03,10
2010-04,11
2010-05,13
2010-06,12
2010-07,14
2010-08,14
2010-09,22
2010-10,13
2010-11,11
2010-12,15
2011-01,13
2011-02,12
2011-03,13
2011-04,13
2011-05,13
2011-06,17
2011-07,19
2011-08,23
2011-09,26
2011-10,18
2011-11,18
2011-12,21
2012-01,19
2012-02,20
2012-03,16
2012-04,18
2012-05,18
2012-06,21
2012-07,24
2012-08,26
2012-09,34
2012-10,23
2012-11,20
2012-12,24
2013-01,23
2013-02,22
2013-03,22
2013-04,24
2013-05,26
2013-06,30
2013-07,28
2013-08,35
2013-09,46
2013-10,29
2013-11,27
2013-12,34
2014-01,32
2014-02,35
2014-03,34
2014-04,34
2014-05,36
2014-06,38
2014-07,41
2014-08,48
2014-09,46
2014-10,31
2014-11,32
2014-12,42
2015-01,42
2015-02,43
2015-03,47
2015-04,47
2015-05,53
2015-06,58
2015-07,62
2015-08,71
2015-09,73
2015-10,59
2015-11,53
2015-12,61
2016-01,48
2016-02,49
2016-03,53
2016-04,54
2016-05,57
2016-06,64
2016-07,70
2016-08,69
2016-09,78
2016-10,59
2016-11,54
2016-12,68
2017-01,64
2017-02,77
2017-03,69
2017-04,74
2017-05,79
2017-06,83
2017-07,85
2017-08,92
2017-09,95
2017-10,100
2017-11,68
2017-12,79
